batch,model,reasoning_effort,correct_source,run_id,scheduled_order,arm,correct,parser_status,reasoning_output_tokens,reasoning_tokens_is_516,reasoning_tokens_is_1034,reasoning_tokens_is_518n_minus_2,lattice_n,lattice_residual,final_integer_candidate
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0001-control,1,control,True,resolved,6565,False,False,False,,-167,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0002-treatment,2,treatment,True,resolved,9087,False,False,False,,-235,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0003-treatment,3,treatment,False,resolved,516,True,False,True,1,0,28
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0004-control,4,control,True,resolved,4660,False,False,True,9,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0005-control,5,control,True,resolved,11912,False,False,True,23,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0006-treatment,6,treatment,True,resolved,7382,False,False,False,,132,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0007-control,7,control,False,resolved,1552,False,False,True,3,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0008-treatment,8,treatment,True,resolved,5405,False,False,False,,227,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0009-treatment,9,treatment,True,resolved,4142,False,False,True,8,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0010-control,10,control,True,resolved,7717,False,False,False,,-51,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0011-control,11,control,True,resolved,11971,False,False,False,,59,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0012-treatment,12,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0013-treatment,13,treatment,False,resolved,1034,False,True,True,2,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0014-control,14,control,True,resolved,5663,False,False,False,,-33,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0015-control,15,control,True,resolved,7232,False,False,False,,-18,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0016-treatment,16,treatment,True,resolved,13416,False,False,False,,-50,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0017-control,17,control,True,resolved,6732,False,False,True,13,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0018-treatment,18,treatment,True,resolved,6649,False,False,False,,-83,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0019-treatment,19,treatment,True,resolved,15980,False,False,False,,-76,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0020-control,20,control,True,resolved,4660,False,False,True,9,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0021-treatment,21,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0022-control,22,control,True,resolved,12371,False,False,False,,-59,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0023-treatment,23,treatment,True,resolved,4142,False,False,True,8,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0024-control,24,control,True,resolved,10029,False,False,False,,189,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0025-control,25,control,False,resolved,516,True,False,True,1,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0026-treatment,26,treatment,True,resolved,5959,False,False,False,,-255,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0027-treatment,27,treatment,False,resolved,516,True,False,True,1,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0028-control,28,control,True,resolved,5362,False,False,False,,184,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0029-control,29,control,True,resolved,6202,False,False,False,,-12,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0030-treatment,30,treatment,True,resolved,12331,False,False,False,,-99,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0031-control,31,control,True,resolved,9322,False,False,True,18,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0032-treatment,32,treatment,False,resolved,516,True,False,True,1,0,36
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0033-control,33,control,True,resolved,10358,False,False,True,20,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0034-treatment,34,treatment,True,resolved,10065,False,False,False,,225,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0035-control,35,control,True,resolved,5220,False,False,False,,42,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0036-treatment,36,treatment,True,resolved,5178,False,False,True,10,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0037-treatment,37,treatment,True,resolved,4660,False,False,True,9,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0038-control,38,control,True,resolved,6571,False,False,False,,-161,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0039-control,39,control,True,resolved,516,True,False,True,1,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0040-treatment,40,treatment,True,resolved,8869,False,False,False,,65,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0041-control,41,control,True,resolved,11771,False,False,False,,-141,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0042-treatment,42,treatment,True,resolved,4615,False,False,False,,-45,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0043-treatment,43,treatment,True,resolved,4630,False,False,False,,-30,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0044-control,44,control,True,resolved,9840,False,False,True,19,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0045-treatment,45,treatment,False,resolved,1034,False,True,True,2,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0046-control,46,control,True,resolved,6767,False,False,False,,35,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0047-treatment,47,treatment,True,resolved,6567,False,False,False,,-165,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0048-control,48,control,True,resolved,5178,False,False,True,10,0,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0049-treatment,49,treatment,True,resolved,6095,False,False,False,,-119,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0050-control,50,control,True,resolved,4938,False,False,False,,-240,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0051-control,51,control,False,resolved,516,True,False,True,1,0,29
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0052-treatment,52,treatment,True,resolved,14255,False,False,False,,-247,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0053-treatment,53,treatment,True,resolved,6300,False,False,False,,86,21
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0054-control,54,control,False,resolved,516,True,False,True,1,0,25
gpt-5.4-xhigh,gpt-5.4,xhigh,strict_correct,run-0055-control,55,control,True,resolved,9245,False,False,False,,-77,21
